asin,marketplace,category_path,price,best_sellers_rank,review_count,scan_timestamp
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$74.97,1898,4,2025-08-24 16:37:44
B0BS1PRC4L,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$36.99,147,4,2025-08-24 16:38:20
B00OUX6U6G,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$36.99,460,4,2025-08-24 16:38:57
