asin,marketplace,category_path,price,best_sellers_rank,review_count,scan_timestamp
B00004T8R2,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$28.00,1902,4,2025-08-24 03:54:37
B0BS1PRC4L,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$14.99,145,4,2025-08-24 03:55:12
B00OUX6U6G,com,"Electronics > › > Headphones, Earbuds & Accessories > › > Headphones & Earbuds > › > On-Ear Headphones",$28.00,461,4,2025-08-24 03:55:47
