asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at
B083P1HG9S,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B07Z8J429C,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BH4KKZB4,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CRRRFZN5,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B01LDVQIF0,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BVRJXH27,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CGMV5TMR,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B00QHOCTG6,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0B75MQJQR,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0DJW5G283,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0C3HCD34R,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B08HMWZBXC,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BS1QCFHX,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CQKMWNHQ,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CT9SBWC9,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0DP8WJ5BN,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B09S8XP2J2,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0C6KFZC9Z,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CTB1BM3P,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0DMP36MVC,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BH4HYM6C,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CMFXR4W5,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
