asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at,new_reviews,pages_visited,stopped_reason
B0D4R5WVVR,20251007_110042,100.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B08J9MVB6W,20251007_110042,3292.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DLKB5V35,20251007_110042,91036.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CT9SBWC9,20251007_110042,1090.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B085899TQ9,20251007_110042,3970.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CQXR6GCF,20251007_110042,16.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0C3HCD34R,20251007_110042,38734.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BVM1PSYN,20251007_110042,1249.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0B6131LBN,20251007_110042,307.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DJW5G283,20251007_110042,1388.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BS1QCFHX,20251007_110042,12421.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B08HMWZBXC,20251007_110042,87225.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BVRJXH27,20251007_110042,1927.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CS8H4124,20251007_110042,8006.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0DP8WJ5BN,20251007_110042,29.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0C6KFZC9Z,20251007_110042,10897.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B00NG57H4S,20251007_110042,11824.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CRTYZG5C,20251007_110042,14291.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0D4Z9C562,20251007_110042,13837.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CBLKS51N,20251007_110042,11159.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B07RFNZYJZ,20251007_110042,9733.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0BH4KKZB4,20251007_110042,1507.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0CVX9YTDL,20251007_110042,89.0,,,,Wireless Headphones,,,2025-10-07T14:14:00,,,
B0D4R5WVVR,20251007_125925,100.0,,$17.59,7557.0,Wireless Headphones,,4.0,2025-10-07T15:59:45,,,
B0D4R5WVVR,20251009_151615,100.0,,$21.99,8517.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B08J9MVB6W,20251009_151615,3297.0,,$199.95,1084.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,1.0,2.0,no_new_on_page
B0DLKB5V35,20251009_151615,91123.0,,$8.99,70.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,31.0,5.0,no_new_on_page
B0CT9SBWC9,20251009_151615,1100.0,,$9.97,600.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B085899TQ9,20251009_151615,3973.0,,$19.99,1088.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0CQXR6GCF,20251009_151615,16.0,,$24.98,40991.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0C3HCD34R,20251009_151615,38965.0,,$16.30,68.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,13.0,3.0,no_new_on_page
B0BVM1PSYN,20251009_151615,1422.0,,$15.60,5235.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,41.0,6.0,no_new_on_page
B0B6131LBN,20251009_151615,309.0,,$14.95,31593.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0DJW5G283,20251009_151615,1404.0,,$29.90,17729.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0BS1QCFHX,20251009_151615,12453.0,,$16.30,155.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,4.0,2.0,no_new_on_page
B08HMWZBXC,20251009_151615,87312.0,,$9.97,298.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,5.0,2.0,no_new_on_page
B0BVRJXH27,20251009_151615,1934.0,,$2999,3428.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,1.0,2.0,no_new_on_page
B0CS8H4124,20251009_151615,8037.0,,$2999,262.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,4.0,3.0,no_new_on_page
B0DP8WJ5BN,20251009_151615,29.0,,$31.99,59844.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0C6KFZC9Z,20251009_151615,10950.0,,$2999,212.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,4.0,2.0,no_new_on_page
B00NG57H4S,20251009_151615,11830.0,,$48.00,95.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0CRTYZG5C,20251009_151615,14458.0,,$15.60,33.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,20.0,4.0,no_new_on_page
B0D4Z9C562,20251009_151615,13878.0,,$2999,24.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,7.0,2.0,no_new_on_page
B0CBLKS51N,20251009_151615,1784.0,,$24.98,7079.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,1.0,2.0,no_new_on_page
B07RFNZYJZ,20251009_151615,5.0,,$239.95,366.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0BH4KKZB4,20251009_151615,1519.0,,$24.99,232.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,2.0,2.0,no_new_on_page
B0CVX9YTDL,20251009_151615,91.0,,$27.54,46055.0,Wireless Headphones,,4.0,2025-10-09T18:19:29,0.0,1.0,no_new_on_page
B0D4R5WVVR,20251009_161606,100.0,,$21.99,8517.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B08J9MVB6W,20251009_161606,3297.0,,$199.95,1085.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0DLKB5V35,20251009_161606,91124.0,,$16.30,70.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,1.0,2.0,no_new_on_page
B0CT9SBWC9,20251009_161606,1100.0,,$8.99,600.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B085899TQ9,20251009_161606,3973.0,,$19.99,1089.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0CQXR6GCF,20251009_161606,16.0,,$24.98,40991.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0C3HCD34R,20251009_161606,38965.0,,$8.99,68.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0BVM1PSYN,20251009_161606,1422.0,,$15.60,5234.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0B6131LBN,20251009_161606,309.0,,$14.95,31593.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
B0DJW5G283,20251009_161606,1404.0,,$9.97,17729.0,Wireless Headphones,,4.0,2025-10-09T19:19:06,0.0,1.0,no_new_on_page
