asin,date,review_count,avg_sentiment,pos_cnt,neut_cnt,neg_cnt
B00QHOCTG6,2022-02-13,1,0.0,0,1,0
B00QHOCTG6,2022-02-15,1,0.338,1,0,0
B00QHOCTG6,2022-02-18,1,0.28,0,1,0
B00QHOCTG6,2022-02-20,1,-0.073,0,1,0
B00QHOCTG6,2022-02-23,1,0.367,1,0,0
B00QHOCTG6,2022-02-24,1,0.092,0,1,0
B00QHOCTG6,2022-03-03,1,0.314,1,0,0
B00QHOCTG6,2022-03-05,1,0.325,1,0,0
B00QHOCTG6,2022-03-15,1,0.417,1,0,0
B00QHOCTG6,2022-03-30,1,0.148,0,1,0
B00QHOCTG6,2022-04-13,1,0.5,1,0,0
B00QHOCTG6,2022-04-16,1,0.26,0,1,0
B00QHOCTG6,2022-04-26,1,0.7,1,0,0
B00QHOCTG6,2022-05-02,1,0.75,1,0,0
B00QHOCTG6,2022-05-05,1,1.0,1,0,0
B00QHOCTG6,2022-05-06,1,0.467,1,0,0
B00QHOCTG6,2022-05-09,1,0.6,1,0,0
B00QHOCTG6,2022-05-20,1,0.355,1,0,0
B00QHOCTG6,2022-05-24,1,-0.057,0,1,0
B00QHOCTG6,2022-06-04,1,0.086,0,1,0
B00QHOCTG6,2022-06-09,1,0.108,0,1,0
B00QHOCTG6,2022-06-12,1,0.65,1,0,0
B00QHOCTG6,2022-06-25,2,-0.0595,0,2,0
B00QHOCTG6,2022-07-01,1,0.0,0,1,0
B00QHOCTG6,2022-07-26,1,-0.058,0,1,0
B00QHOCTG6,2022-08-20,1,0.213,0,1,0
B00QHOCTG6,2022-09-12,1,0.159,0,1,0
B00QHOCTG6,2022-09-22,1,-0.112,0,1,0
B00QHOCTG6,2022-09-28,1,-0.025,0,1,0
B00QHOCTG6,2022-10-10,2,0.106,0,2,0
B00QHOCTG6,2022-11-06,1,-0.02,0,1,0
B00QHOCTG6,2022-11-21,1,0.502,1,0,0
B00QHOCTG6,2022-12-04,1,0.0,0,1,0
B00QHOCTG6,2023-01-02,1,0.093,0,1,0
B00QHOCTG6,2023-01-12,1,0.8,1,0,0
B00QHOCTG6,2023-02-16,1,0.8,1,0,0
B00QHOCTG6,2023-02-17,1,0.58,1,0,0
B00QHOCTG6,2023-02-23,1,0.064,0,1,0
B00QHOCTG6,2023-03-02,1,0.257,0,1,0
B00QHOCTG6,2023-03-04,1,-0.031,0,1,0
B00QHOCTG6,2023-03-06,2,0.23,1,1,0
B00QHOCTG6,2023-03-25,1,0.153,0,1,0
B00QHOCTG6,2023-03-31,1,0.2,0,1,0
B00QHOCTG6,2023-04-06,1,0.09,0,1,0
B00QHOCTG6,2023-04-23,1,0.4,1,0,0
B00QHOCTG6,2023-04-27,1,0.0,0,1,0
B00QHOCTG6,2023-04-30,1,0.6,1,0,0
B00QHOCTG6,2023-05-03,1,0.143,0,1,0
B00QHOCTG6,2023-05-23,1,0.367,1,0,0
B00QHOCTG6,2023-05-27,1,-0.079,0,1,0
B00QHOCTG6,2023-06-07,1,-1.0,0,0,1
B00QHOCTG6,2023-06-14,1,1.0,1,0,0
B00QHOCTG6,2023-06-26,1,-0.011,0,1,0
B00QHOCTG6,2023-06-27,1,0.248,0,1,0
B00QHOCTG6,2023-07-02,1,-0.3,0,1,0
B00QHOCTG6,2023-07-07,1,0.0,0,1,0
B00QHOCTG6,2023-07-08,1,0.6,1,0,0
B00QHOCTG6,2023-07-13,1,0.27,0,1,0
B00QHOCTG6,2023-07-15,1,0.317,1,0,0
B00QHOCTG6,2023-07-20,1,0.286,0,1,0
B00QHOCTG6,2023-07-25,1,0.396,1,0,0
B00QHOCTG6,2023-07-30,1,0.7,1,0,0
B00QHOCTG6,2023-09-25,1,0.0,0,1,0
B00QHOCTG6,2023-09-29,1,0.25,0,1,0
B00QHOCTG6,2023-10-04,1,0.086,0,1,0
B00QHOCTG6,2023-10-07,1,0.65,1,0,0
B00QHOCTG6,2023-10-09,1,-0.375,0,0,1
B00QHOCTG6,2023-11-07,1,0.52,1,0,0
B00QHOCTG6,2023-11-11,1,-0.2,0,1,0
B00QHOCTG6,2023-12-01,1,0.625,1,0,0
B00QHOCTG6,2023-12-16,1,0.292,0,1,0
B00QHOCTG6,2024-01-05,1,0.102,0,1,0
B00QHOCTG6,2024-01-30,1,0.35,1,0,0
B00QHOCTG6,2024-02-25,1,0.417,1,0,0
B00QHOCTG6,2024-03-01,1,0.459,1,0,0
B00QHOCTG6,2024-03-12,1,0.4,1,0,0
B00QHOCTG6,2024-03-30,1,0.08,0,1,0
B00QHOCTG6,2024-04-23,1,0.64,1,0,0
B00QHOCTG6,2024-04-30,1,0.178,0,1,0
B00QHOCTG6,2024-06-20,1,0.294,0,1,0
B00QHOCTG6,2024-07-01,1,0.0,0,1,0
B00QHOCTG6,2024-07-09,1,0.056,0,1,0
B00QHOCTG6,2024-07-19,1,0.119,0,1,0
B00QHOCTG6,2024-08-23,1,0.36,1,0,0
B00QHOCTG6,2024-09-15,1,0.4,1,0,0
B00QHOCTG6,2024-09-20,1,0.081,0,1,0
B00QHOCTG6,2025-01-20,1,-0.342,0,0,1
B00QHOCTG6,2025-04-09,1,1.0,1,0,0
B00QHOCTG6,2025-04-15,1,0.667,1,0,0
B00QHOCTG6,2025-04-17,1,0.018,0,1,0
