asin,captured_at,price,rating,total_reviews,bsr,category_path,title
B08TMTFR6B,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0FB2VCQG1,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0DZHC7YSY,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0DPK2LN3G,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B094NC89P9,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0CVX9YTDL,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B07K2676W7,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B09XS7JWHH,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0DFYFW1HW,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0DCN52TQH,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0B7WKH98S,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B0D4ZC4XMT,2025-09-20T18:09:43,,,0,,Wireless Headphones,
B08B477BHS,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DM9NJJ8L,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DLKB5V35,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CD1FHLMH,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DWX8YBKK,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B083P1HG9S,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B07Z8J429C,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0BH4KKZB4,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CRRRFZN5,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B01LDVQIF0,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0BVRJXH27,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CGMV5TMR,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B00QHOCTG6,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0B75MQJQR,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DJW5G283,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0C3HCD34R,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B08HMWZBXC,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0BS1QCFHX,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CQKMWNHQ,2025-09-20T23:10:25,,,0,,Wireless Headphones,
